,title,link,description,author,category,guid,pubDate,{http://purl.org/dc/elements/1.1/}title,{http://ndl.go.jp/dcndl/terms/}titleTranscription,{http://purl.org/dc/elements/1.1/}creator,{http://ndl.go.jp/dcndl/terms/}creatorTranscription,{http://ndl.go.jp/dcndl/terms/}volume,{http://ndl.go.jp/dcndl/terms/}seriesTitle,{http://ndl.go.jp/dcndl/terms/}seriesTitleTranscription,{http://purl.org/dc/elements/1.1/}publisher,{http://ndl.go.jp/dcndl/terms/}publicationPlace,{http://purl.org/dc/elements/1.1/}date,{http://purl.org/dc/terms/}issued,{http://ndl.go.jp/dcndl/terms/}price,{http://purl.org/dc/elements/1.1/}extent,{http://purl.org/dc/elements/1.1/}identifier,{http://ndl.go.jp/dcndl/terms/}genre,{http://ndl.go.jp/dcndl/terms/}genreTranscription,{http://purl.org/dc/elements/1.1/}subject,{http://www.w3.org/2000/01/rdf-schema#}seeAlso,{http://purl.org/dc/elements/1.1/}description,ayoo
0,ゴールデンカムイ,https://ndlsearch.ndl.go.jp/books/R100000002-I026025703,"<p>1,集英社,2015,978-4-08-890082-7<p><ul><li>タイトル：ゴールデンカムイ</li><li>タイトル（読み）：ゴールデン カムイ</li><li>責任表示：野田サトル 著</li><li>シリーズ名：ヤングジャンプコミックス</li><li>シリーズ名（読み）：ヤング ジャンプ コミックス</li><li>NDC(9)：726.1</li></ul>","野田, サトル,野田サトル 著",紙,https://ndlsearch.ndl.go.jp/books/R100000002-I026025703,"Mon, 13 Dec 2021 21:12:46 +0900",ゴールデンカムイ,ゴールデン カムイ,"野田, サトル","ノダ, サトル",1.0,ヤングジャンプコミックス,ヤング ジャンプ コミックス,集英社,JP,2015.0,2015.1,514円,1冊(ページ付なし),7339210.0,漫画,マンガ,726.1,,2015.0,
1,あさきゆめみし : 源氏物語「宇治十帖」編,https://ndlsearch.ndl.go.jp/books/R100000002-I000003010848,"<p>7,講談社,2001,4-06-360056-4<p><ul><li>タイトル：あさきゆめみし : 源氏物語「宇治十帖」編</li><li>タイトル（読み）：アサキ ユメミシ : ゲンジ モノガタリ ウジ ジュウジョウ ヘン</li><li>責任表示：大和和紀 著</li><li>シリーズ名：講談社漫画文庫</li><li>シリーズ名（読み）：コウダンシャ マンガ ブンコ</li><li>NDC(9)：726.1</li></ul>","大和, 和紀, 1948-,大和和紀 著",紙,https://ndlsearch.ndl.go.jp/books/R100000002-I000003010848,"Mon, 28 Feb 2022 19:26:20 +0900",あさきゆめみし : 源氏物語「宇治十帖」編,アサキ ユメミシ : ゲンジ モノガタリ ウジ ジュウジョウ ヘン,"大和, 和紀, 1948-","ヤマト, ワキ, 1948-",7.0,講談社漫画文庫,コウダンシャ マンガ ブンコ,講談社,JP,2001.0,2001.8,550円,1冊,20181040.0,漫画,マンガ,726.1,,2001.0,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,fire
5,,,,,,drop,,,,,,,,,,,,,,,,,,,,,fire
